sample_id,material_family,adsorbate,functional,band_gap_ev,work_function_ev,charge_transfer_e,binding_energy_ev,coordination_number,converged,target_adsorption_ev
gcn_01,gCN,H,PBE,1.82,4.71,0.08,-0.42,2,true,-0.31
gcn_02,gCN,H,HSE06,2.95,4.83,0.06,-0.36,2,true,-0.22
gcn_03,gCN,O,PBE,1.79,5.02,0.19,-1.21,2,true,-1.04
gcn_04,gCN,OH,PBE,1.85,4.94,0.14,-0.88,1,true,-0.73
ptsse_01,PtSSe,H,PBE,1.31,5.41,0.11,-0.28,1,true,-0.12
ptsse_02,PtSSe,H,HSE06,2.16,5.52,0.09,-0.24,1,true,-0.08
ptsse_03,PtSSe,O,PBE,1.28,5.67,0.23,-1.46,2,true,-1.25
ptsse_04,PtSSe,OH,PBE,1.35,5.58,0.17,-1.02,1,true,-0.86
sns2_01,SnS2,H,PBE,1.54,5.73,0.05,-0.19,1,true,-0.04
sns2_02,SnS2,H,HSE06,2.38,5.84,0.04,-0.16,1,true,-0.01
sns2_03,SnS2,O,PBE,1.49,5.91,0.16,-1.08,2,true,-0.91
sns2_04,SnS2,OH,PBE,1.57,5.86,0.12,-0.74,1,true,-0.59
mos2_01,MoS2,H,PBE,1.68,5.21,0.07,-0.33,2,true,-0.18
mos2_02,MoS2,H,HSE06,2.29,5.31,0.06,-0.29,2,true,-0.13
mos2_03,MoS2,O,PBE,1.63,5.49,0.21,-1.34,3,true,-1.11
mos2_04,MoS2,OH,PBE,1.71,5.42,0.15,-0.93,1,true,-0.76
ws2_01,WS2,H,PBE,1.74,5.32,0.06,-0.30,2,true,-0.15
ws2_02,WS2,H,HSE06,2.41,5.44,0.05,-0.26,2,true,-0.10
ws2_03,WS2,O,PBE,1.69,5.61,0.20,-1.29,3,true,-1.07
ws2_04,WS2,OH,PBE,1.77,5.54,0.14,-0.89,1,true,-0.72
tio2_01,TiO2,H,PBE,2.11,5.88,0.10,-0.51,2,true,-0.37
tio2_02,TiO2,H,HSE06,3.18,6.02,0.08,-0.45,2,true,-0.29
tio2_03,TiO2,O,PBE,2.05,6.14,0.28,-1.68,3,true,-1.43
tio2_04,TiO2,OH,PBE,2.14,6.07,0.20,-1.17,2,false,-0.98
